ref;design;Preco_Euros
CERTIFCS;Certificação PHC CS;340
CSDEOBRG5;CS Desktop Enterprise Obras p/ Gestão 1a5 U.A.;120
CSONMDEEQPMG20;ON(m): CS Desktop Enterprise Equipamento p/ Gestão 6a20 U.A.;1,08
CSATCCONTPSAR;AT: CS Corporate Controlo p/ Gestão Srv.Adic.Rede;217
CSATDADOCBUA;AT: CS Desktop Advanced Documentos + BPM U.A.;81
CSATWESUP21;AT: CS Web Enterprise Suporte +20 U.A.;53
CSONCMULT;ON: CS Corporate Multilingua;111
CSONMWESUP5;ON(m): CS Web Enterprise Suporte 1a5 U.A.;8,5
CSEOBRGR;CS Enterprise Obras p/ Gestão Rede;1328
CSATWEGES20;AT: CS Web Enterprise Gestão 6a20 U.A.;300
CSONMAEDIB;ON(m): CS Advanced EDI Broker;8,42
CSSACGAIM;SA: CS Corporate GenAI mono;121
CSONMAIECAGSA;ON(m): CS Advanced IEC Álcool p/ Gestão Srv.Adic.;6
CSONMEVENCSA;ON(m): CS Enterprise Vencimentos Srv.Adic.;37,42
CSONMDEOBRG5;ON(m): CS Desktop Enterprise Obras p/ Gestão 1a5 U.A.;2,42
CSONMEEDIBSA;ON(m): CS Enterprise EDI Broker Srv.Adic.;8,33
CSSAAPGLOW;SA: CS Web Advanced Global Web;3806
CSEFROTR;CS Enterprise Frota Rede;4479
CSONMDESERVG5;ON(m): CS Desktop Enterprise Serviços 1a5 U.A.;2,42
CSCLOTGSAM;CS Corporate Lotes p/ Gestão Srv.Adic.Mono;320
CSSAWACOLAB100;SA: CS Web Advanced Colaborador 21a100 U.A.;11
CSONMDEMEDIP21;ON(m): CS Desktop Enterprise Medição p/ Gestão +20 U.A.;1,58
CSONEMULTP21P;ON: CS Enterprise Multilingua p/ POS +20 Postos;25
CSATMMPLAR;AT: CS Manufactor Manager Planning Rede;1000
CSONDECRM20;ON: CS Desktop Enterprise CRM 6a20 U.A.;50
CSONDEQUALI20;ON: CS Desktop Enterprise Qualidade 6a20 U.A.;49
CSSAEMULTR10P;SA: CS Enterprise Multilingua p/ Restauração 1a10 Postos;57
CSSADEVENC21;SA: CS Desktop Enterprise Vencimentos +20 U.A.;51
CSSACSERVGM;SA: CS Corporate Serviços Mono;174
CSWARECRU120;CS Web Advanced Recrutamento 1a20 U.A.;152
CSATAIMOVR;AT: CS Advanced Imóveis Rede;1160
CSONMDCPROJUA;ON(m): CS Desktop Corporate Projeto p/ Gestão U.A.;4,25
CSATEDOCBR;AT: CS Enterprise Documentos + BPM Rede;1983
CSONMDAFROTUA;ON(m): CS Desktop Advanced Frota U.A.;3,17
CSAIMOVSA;CS Advanced Imóveis Srv.Adic.;1160
CSONMDEGES5;ON(m): CS Desktop Enterprise Gestão 1a5 U.A.;32,5
CSATASERVGSA;AT: CS Advanced Serviços Srv.Adic.;149
CSONMASINCPA;ON(m): CS Advanced Sincro Posto;4,5
CSONCGESCLM;ON: CS Corporate Gestão Clientes Mono;100
CSMEPLAR;CS Manufactor Executive Planning Rede;6399
CSATDEOBRG21;AT: CS Desktop Enterprise Obras p/ Gestão +20 U.A.;14
CSONMCIMOBR;ON(m): CS Corporate Imobilizado Rede;26,83
CSATEMULTP20P;AT: CS Enterprise Multilingua p/ POS 11a20 Postos;64
CSONAGREGR;ON: CS Advanced Grelhas p/ Gestão Rede;143
CSATEEQPMP21P;AT: CS Enterprise Equipamento p/ POS +20 Postos;52
CSSAEGREP21P;SA: CS Enterprise Grelhas p/ POS +20 Postos;29
CSONASUPSTR;ON: CS Advanced Suporte + Stocks Rede;749
CSONCFORNP1P;ON: CS Corporate Fornecedores p/ POS 1º Posto;72
CSCFORMR;CS Corporate Formação Rede;1728
CSONWAVENCUA;ON: CS Web Advanced Vencimentos U.A.;50
CSONMCGESTER;ON(m): CS Corporate Gestão Terceiros Rede;34,58
CSONWCSUPE;ON: CS Web Corporate Suporte Extranet;240
CSSAWEDEEXT;SA: CS Web Enterprise Documentos Eletrónicos Extranet;268
CSATWAECOE;AT: CS Web Advanced Ecovalor Extranet;119
CSONEFORMSA;ON: CS Enterprise Formação Srv.Adic.;455
CSSAACON;SA: CS Advanced Conector;546
CSONARGPDPPA;ON: CS Advanced RGPD p/ POS Posto;45
CSSADCCONTUA;SA: CS Desktop Corporate Contabilidade U.A.;26
CSONMALOTPPA;ON(m): CS Advanced Lotes p/ POS Posto;6,42
CSONDEGREG20;ON: CS Desktop Enterprise Grelhas p/ Gestão 6a20 U.A.;13
CSSACEQPMGM;SA: CS Corporate Equipamento p/ Gestão Mono;174
CSONMCECOGM;ON(m): CS Corporate Ecovalor p/ Gestão Mono;9,67
CSATDESERVG20;AT: CS Desktop Enterprise Serviços 6a20 U.A.;28
CSONECONTR;ON: CS Enterprise Contabilidade Rede;1497
CSONMWCSUP120;ON(m): CS Web Corporate Suporte 1a20 U.A.;1,08
CSCIMOBSAM;CS Corporate Imobilizado Srv.Adic.Mono;561
CSATWAGEB2C;AT: CS Web Advanced Grelhas p/ E-Commerce B2C;179
CSEEDIB;CS Enterprise EDI Broker;836
CSDCFORMUA;CS Desktop Corporate Formação U.A.;90
CSONMCEQPMP5P;ON(m): CS Corporate Equipamento p/ POS 1a5 Postos;2
CSATDEFROT21;AT: CS Desktop Enterprise Frota +20 U.A.;52
CSATALETR;AT: CS Advanced Letras Rede;1160
CSONDECAR20;ON: CS Desktop Enterprise Careers 6a20 U.A.;68
CSATALETSA;AT: CS Advanced Letras Srv.Adic.;580
CSONAIMOBR;ON: CS Advanced Imobilizado Rede;749
CSSAWECRM20;SA: CS Web Enterprise CRM 6a20 U.A.;55
CSWCCRM120;CS Web Corporate CRM 1a20 U.A.;38
CSSAAMESTSPA;SA: CS Advanced MultiEstação Serviço Posto adic.;230
CSONAXLPA;ON: CS Advanced XL Posto Adic.;30
CSONDASERVGUA;ON: CS Desktop Advanced Serviços U.A.;9
CSONALETSA;ON: CS Advanced Letras Srv.Adic.;278
SQL19RNSTANDCAL;CAL SQL Server 2019 Runtime STANDARD Edition;224
CSSACMULTR5P;SA: CS Corporate Multilingua p/ Restauração 1a5 Postos;30
CSONDESHST20;ON: CS Desktop Enterprise SHST 6a20 U.A.;25
CSSAAEQPMGR;SA: CS Advanced Equipamento p/ Gestão Rede;214
CSSAEVENCR;SA: CS Enterprise Vencimentos Rede;2242
CSATCRGPDPPA;AT: CS Corporate RGPD p/ POS Posto;51
CSESERVGR;CS Enterprise Serviços Rede;1328
CSONMMPLATUA;ON: CS Manufactor Manager Platform U.A.;92
CSSADCIMOBUA;SA: CS Desktop Corporate Imobilizado U.A.;26
CSATEIECAP10P;AT: CS Enterprise IEC Álcool p/ POS 1a10 Postos;60
CSAMULTRPA;CS Advanced Multilingua p/ Restauração Posto;120
CSONMAECOPPA;ON(m): CS Advanced Ecovalor p/ POS Posto;2
CSSADCGREGUA;SA: CS Desktop Corporate Grelhas p/ Gestão U.A.;10
CSDELOGIG5;CS Desktop Enterprise Logística p/ Gestão 1a5 U.A.;211
CSONCEQUIM;ON: CS Corporate Equipa Mono;231
CSATDAIMOVUA;AT: CS Desktop Advanced Imóveis U.A.;80
CSONMDCDOCUA;ON(m): CS Desktop Corporate Documentos U.A.;0,92
CSONMEPLANPSA;ON(m): CS Enterprise Planeamento p/ Gestão Srv.Adic.;8,67
CSSACORCAPR;SA: CS Corporate Orçamento p/ Gestão Rede;656
CSONMWAIMOBUA;ON(m): CS Web Advanced Imobilizado U.A.;3,08
CSSAWEGREE;SA: CS Web Enterprise Grelhas Extranet;185
CSONDECLI5;ON: CS Desktop Enterprise Clínica 1a5 U.A.;96
CSATAMEDIPSA;AT: CS Advanced Medição p/ Gestão Srv.Adic.;580
CSCGAISAM;CS Corporate GenAI Srv.Adic.Mono;168
CSDCPGLOUA;CS Desktop Corporate Global U.A.;256
CSCDOCM;CS Corporate Documentos Mono;798
CSCOBRGSAR;CS Corporate Obras p/ Gestão Srv.Adic.Rede;384
CSATWCSUPE;AT: CS Web Corporate Suporte Extranet;499
CSSAEORCAPR;SA: CS Enterprise Orçamento p/ Gestão Rede;1207
CSONMWCFORM120;ON(m): CS Web Corporate Formação 1a20 U.A.;1,42
CSONDEOCUG20;ON: CS Desktop Enterprise Ocupação p/ Gestão 6a20 U.A.;31
CSONAIMOVSA;ON: CS Advanced Imóveis Srv.Adic.;278
CSASERVGSA;CS Advanced Serviços Srv.Adic.;298
CSONMCIMOVSAM;ON(m): CS Corporate Imóveis Srv.Adic.Mono;8
CSONDAGESUA;ON: CS Desktop Advanced Gestão U.A.;67
CSONCREVIPM;ON: CS Corporate Revisão de Preços Mono;365
CSACLISA;CS Advanced Clínica Srv.Adic.;1160
CSATDASERVGUA;AT: CS Desktop Advanced Serviços U.A.;19
CSSACCONTPR;SA: CS Corporate Controlo p/ Gestão Rede;312
CSAIECAGR;CS Advanced IEC Álcool p/ Gestão Rede;596
CSONMELOTR;ON: CS Manufactor Executive Lotes Rede;384
CSONMCCRMM;ON(m): CS Corporate CRM Mono;19,25
CSDESUPST21;CS Desktop Enterprise Suporte + Stocks +20 U.A.;177
CSONMDAORCAPUA;ON(m): CS Desktop Advanced Orçamento p/ Gestão U.A.;3,17
CSONMDAEQPMGUA;ON(m): CS Desktop Advanced Equipamento p/ Gestão U.A.;0,75
CSATWEECOG20;AT: CS Web Enterprise Ecovalor p/ Gestão 6a20 U.A.;21
CSONWEGREG21;ON: CS Web Enterprise Grelhas p/ Gestão +20 U.A.;5
CSONMAPROJSA;ON(m): CS Advanced Projeto p/ Gestão Srv.Adic.;60,83
CSONDECONS21;ON: CS Desktop Enterprise Consolidação +20 U.A.;33
CSONDEGAI100;ON: CS Desktop Enterprise GenAI 21a100 U.A.;12
CSSAWAGAI120;SA: CS Web Advanced GenAI 1a20 U.A.;14
CSATDECONTP20;AT: CS Desktop Enterprise Controlo p/ Gestão 6a20 U.A.;30
CSONWCEB2BIUA;ON: CS Web Corporate E-Commerce B2B Intranet U.A.;38
CSONCFROTSAM;ON: CS Corporate Frota Srv.Adic.Mono;115
CSACON;CS Advanced Conector;1519
CSONMWAEB2B;ON(m): CS Web Advanced E-Commerce B2B;40
CSEECOP21P;CS Enterprise Ecovalor p/ POS +20 Postos;82
CSONWEFORM21;ON: CS Web Enterprise Formação +20 U.A.;25
CSONCGESCLSAM;ON: CS Corporate Gestão Clientes Srv.Adic.Mono;50
CSONMACONTR;ON(m): CS Advanced Contabilidade Rede;62,42
CSATCGESTEM;AT: CS Corporate Gestão Terceiros Mono;721
CSATDAMEDIPUA;AT: CS Desktop Advanced Medição p/ Gestão U.A.;80
CSONMWAEQPMGUA;ON(m): CS Web Advanced Equipamento p/ Gestão U.A.;0,58
CSONCDESA;ON: CS Corporate Documentos Eletrónicos Srv.Adic.;48
CSSAWESUP20;SA: CS Web Enterprise Suporte 6a20 U.A.;77
CSONEPOS10P;ON: CS Enterprise POS 1a10 Postos;232
CSONDECRM21;ON: CS Desktop Enterprise CRM +20 U.A.;25
CSEGAIR;CS Enterprise GenAI Rede;1007
CSONMASHSTSA;ON(m): CS Advanced SHST Srv.Adic.;8,83
CSONMEEDIB;ON(m): CS Enterprise EDI Broker;16,75
CSONMDAIECAGUA;ON(m): CS Desktop Advanced IEC Álcool p/ Gestão U.A.;0,75
CSATERES10P;AT: CS Enterprise Restauração 1a10 Postos;484
CSERGPD;CS Enterprise RGPD;1519
CSONMADERES;ON(m): CS Advanced Documentos Eletrónicos p/ Restauração;3
CSSADEGES5;SA: CS Desktop Enterprise Gestão 1a5 U.A.;583
CSONMCEQPMGM;ON(m): CS Corporate Equipamento p/ Gestão Mono;9,67
CSWEIMOB20;CS Web Enterprise Imobilizado 6a20 U.A.;195
CSSADAIMOVUA;SA: CS Desktop Advanced Imóveis U.A.;57
CSSAAPOS1P;SA: CS Advanced POS 1º Posto;181
CSSADELET5;SA: CS Desktop Enterprise Letras 1a5 U.A.;129
CSONMWEDEEXT;ON(m): CS Web Enterprise Documentos Eletrónicos Extranet;14,92
CSWCEB2B;CS Web Corporate E-Commerce B2B;998
CSONEOCUGR;ON: CS Enterprise Ocupação p/ Gestão Rede;691
CSSAWEGES21;SA: CS Web Enterprise Gestão +20 U.A.;107
CSSADEIMOB5;SA: CS Desktop Enterprise Imobilizado 1a5 U.A.;204
CSSAAEDIB;SA: CS Advanced EDI Broker;151
CSSAWECONT20;SA: CS Web Enterprise Contabilidade 6a20 U.A.;75
CSONWCRGPD;ON: CS Web Corporate RGPD;6
CSCOCUGR;CS Corporate Ocupação p/ Gestão Rede;768
CSDECRM5;CS Desktop Enterprise CRM 1a5 U.A.;409
CSAPGLOWUA;CS Web Advanced Global Web U.A.;739
CSONMDCLOTGUA;ON(m): CS Desktop Corporate Lotes p/ Gestão U.A.;0,75
CSSACMESTS1P;SA: CS Corporate Multi Estação Serviço 1º Posto;187
CSATCECOGSAM;AT: CS Corporate Ecovalor p/ Gestão Srv.Adic.Mono;121
CSONMDESUP21;ON(m): CS Desktop Enterprise Suporte +20 U.A.;2,83
CSATAVENCSA;AT: CS Advanced Vencimentos Srv.Adic.;780
CSSACPGCRMM;SA: CS Corporate Gestão Completo + CRM Comercial Mono;862
CSSAWAGREE;SA: CS Web Advanced Grelhas Extranet;86
CSONWCECOG120;ON: CS Web Corporate Ecovalor p/ Gestão 1a20 U.A.;5
CSONMWACRMUA;ON(m): CS Web Advanced CRM U.A.;2,42
CSONWEEQUI5;ON: CS Web Enterprise Equipa 1a5 U.A.;72
CSSAEEQPMP10P;SA: CS Enterprise Equipamento p/ POS 1a10 Postos;57
CSONWCDEINT;ON: CS Web Corporate Documentos Eletrónicos Intranet;6
CSONMCEQUIR;ON(m): CS Corporate Equipa Rede;23
CSWCIMOB120;CS Web Corporate Imobilizado 1a20 U.A.;49
CSONMDAPROJUA;ON(m): CS Desktop Advanced Projeto p/ Gestão U.A.;8,5
CSONMWCCRM120;ON(m): CS Web Corporate CRM 1a20 U.A.;0,75
CSCESTS;CS Corporate Estações de Serviço;639
CSAEQPMGR;CS Advanced Equipamento p/ Gestão Rede;596
CSONASCSA;ON: CS Advanced Safe Credit Srv.Adic.;40
CSCFORNP1P;CS Corporate Fornecedores p/ POS 1º Posto;302
CSATCIMOVR;AT: CS Corporate Imóveis Rede;481
CSADENSA;CS Advanced Denúncias Srv.Adic.;361
CSSAWAGREGUA;SA: CS Web Advanced Grelhas p/ Gestão U.A.;10
CSCFAT3P;CS Corporate Faturação 2a3 Postos;352
CSONCECOGSAM;ON: CS Corporate Ecovalor p/ Gestão Srv.Adic.Mono;58
CSAEDIBSA;CS Advanced EDI Broker Srv.Adic.;210
CSONMDEIECAG20;ON(m): CS Desktop Enterprise IEC Álcool p/ Gestão 6a20 U.A.;1,08
CSONMWADOC120;ON(m): CS Web Advanced Documentos 1a20 U.A.;2,42
CSONEMULT;ON: CS Enterprise Multilingua;302
CSONDASUPUA;ON: CS Desktop Advanced Suporte U.A.;39
CSONDECONS20;ON: CS Desktop Enterprise Consolidação 6a20 U.A.;67
CSEQUALISA;CS Enterprise Qualidade Srv.Adic.;1344
CSONACLIR;ON: CS Advanced Clínica Rede;557
CSONMCLETR;ON(m): CS Corporate Letras Rede;15,33
CSSAECONSR;SA: CS Enterprise Consolidação Rede;2242
CSCIMOVSAR;CS Corporate Imóveis Srv.Adic.Rede;481
CSATEGESR;AT: CS Enterprise Gestão Rede;3839
CSATAIECAPPA;AT: CS Advanced IEC Álcool p/ POS Posto;50
CSONDAFORMUA;ON: CS Desktop Advanced Formação U.A.;39
CSASUPSTSA;CS Advanced Suporte + Stocks Srv.Adic.;1560
CSMMPLATUA;CS Manufactor Manager Platform U.A.;383
CSONMCCLIM;ON(m): CS Corporate Clínica Mono;22,42
CSATDAQUALIUA;AT: CS Desktop Advanced Qualidade U.A.;80
CSWECAR20;CS Web Enterprise Careers 6a20 U.A.;99
CSONMWAGAI120;ON(m): CS Web Advanced GenAI 1a20 U.A.;0,75
CSONEDOCBSA;ON: CS Enterprise Documentos + BPM Srv.Adic.;286
CSONMDCCONTUA;ON(m): CS Desktop Corporate Contabilidade U.A.;1,5
CSWECRM5;CS Web Enterprise CRM 1a5 U.A.;300
CSATCMESTSPA;AT: CS Corporate Multi Estação Serviço Posto Adic.;320
CSSADAPROJUA;SA: CS Desktop Advanced Projeto p/ Gestão U.A.;152
CSONACONTR;ON: CS Advanced Contabilidade Rede;749
CSONAEQPMPPA;ON: CS Advanced Equipamento p/ POS Posto;29
CSONMWARECRU120;ON(m): CS Web Advanced Recrutamento 1a20 U.A.;3
CSDESERVG5;CS Desktop Enterprise Serviços 1a5 U.A.;120
CSATEDE;AT: CS Enterprise Documentos Eletrónicos;760
CSONCGAISAM;ON: CS Corporate GenAI Srv.Adic.Mono;40
CSSAAECOPPA;SA: CS Advanced Ecovalor p/ POS Posto;36
CSONWAGAI120;ON: CS Web Advanced GenAI 1a20 U.A.;9
CSSAEECOP21P;SA: CS Enterprise Ecovalor p/ POS +20 Postos;29
CSMETOUR;CS Manufactor Executive Touch Rede;1600
CSONMCMEDIPSAM;ON(m): CS Corporate Medição p/ Gestão Srv.Adic.Mono;15,17
CSATCFORMSAR;AT: CS Corporate Formação Srv.Adic.Rede;432
CSONCTERMP;ON: CS Corporate Terminais Portáteis;192
CSATDEGREG21;AT: CS Desktop Enterprise Grelhas p/ Gestão +20 U.A.;15
CSDECONT21;CS Desktop Enterprise Contabilidade +20 U.A.;141
CSONMCSERVGM;ON(m): CS Corporate Serviços Mono;9,67
CSSACRGPD;SA: CS Corporate RGPD;143
EVOENTGOPARTNER;Enterprise Evolution & GO Partner;3600
CSSAWERECRU20;SA: CS Web Enterprise Recrutamento 6a20 U.A.;75
CSSAAINT;SA: CS Advanced Intrastat;546
CSCORCAPR;CS Corporate Orçamento p/ Gestão Rede;1824
CSWACAR120;CS Web Advanced Careers 1a20 U.A.;67
CSONCIMOVSAR;ON: CS Corporate Imóveis Srv.Adic.Rede;115
CSAINTSA;CS Advanced Intrastat Srv.Adic.;760
CSONWASUPUA;ON: CS Web Advanced Suporte U.A.;29
CSSADEGREG5;SA: CS Desktop Enterprise Grelhas p/ Gestão 1a5 U.A.;44
CSEGESSA;CS Enterprise Gestão Srv.Adic.;2303
CSONDEPLANP20;ON: CS Desktop Enterprise Planeamento p/ Gestão 6a20 U.A.;14
CSSAADEN;SA: CS Advanced Denúncias;259
CSEQUALIR;CS Enterprise Qualidade Rede;4479
CSATCEQPMGR;AT: CS Corporate Equipamento p/ Gestão Rede;288
CSEPOS10P;CS Enterprise POS 1a10 Postos;968
CSATASERVGR;AT: CS Advanced Serviços Rede;298
CSATESHSTSA;AT: CS Enterprise SHST Srv.Adic.;346
CSONMEFROTR;ON(m): CS Enterprise Frota Rede;89,58
CSSADASHSTUA;SA: CS Desktop Advanced SHST U.A.;20
CSSAAXL1P;SA: CS Advanced XL 1º Posto;233
CSDEGES21;CS Desktop Enterprise Gestão +20 U.A.;403
CSATAEQPMGR;AT: CS Advanced Equipamento p/ Gestão Rede;298
CSONMWEDOC100;ON(m): CS Web Enterprise Documentos 21a100 U.A.;1,42
CSDACONTPUA;CS Desktop Advanced Controlo p/ Gestão U.A.;83
CSONMCPROJM;ON(m): CS Corporate Projeto p/ Gestão Mono;70,42
CSWEEB2B;CS Web Enterprise E-Commerce B2B;2996
CSATCORCAPSAR;AT: CS Corporate Orçamento p/ Gestão Srv.Adic.Rede;456
CSONWECRM5;ON: CS Web Enterprise CRM 1a5 U.A.;72
CSEINT;CS Enterprise Intrastat;3200
CSATDCGESTEUA;AT: CS Desktop Corporate Gestão Terceiros U.A.;45
CSONMCRES1P;ON(m): CS Corporate Restauração 1º Posto;6
CSATCDE;AT: CS Corporate Documentos Eletrónicos;199
CSSAATERMP;SA: CS Advanced Terminais Portáteis;546
CSAECOGSA;CS Advanced Ecovalor p/ Gestão Srv.Adic.;298
CSONMEMRPUA;ON: CS Manufactor Executive MRP U.A.;116
CSONDEOCUG5;ON: CS Desktop Enterprise Ocupação p/ Gestão 1a5 U.A.;62
CSONESMS;ON: CS Enterprise SMS;116
CSONMDEFORM21;ON(m): CS Desktop Enterprise Formação +20 U.A.;2,83
CSATDELOGIG20;AT: CS Desktop Enterprise Logística p/ Gestão 6a20 U.A.;53
CSONMWECOLAB100;ON(m): CS Web Enterprise Colaborador 21a100 U.A.;1,33
CSSAAXLPA;SA: CS Advanced XL Posto Adic.;44
CSSAEDE;SA: CS Enterprise Documentos Eletrónicos;546
CSONCLOTGM;ON: CS Corporate Lotes p/ Gestão Mono;153
CSONCDOCM;ON: CS Corporate Documentos Mono;192
CSEIMOVR;CS Enterprise Imóveis Rede;7678
CSATWEGREG20;AT: CS Web Enterprise Grelhas p/ Gestão 6a20 U.A.;21
CSONWEGAI20;ON: CS Web Enterprise GenAI 6a20 U.A.;13
CSONDEQUADB20;ON: CS Desktop Enterprise Qualidade+Documentos+BPM 6a20 U.A.;69
CSONCEQPMGM;ON: CS Corporate Equipamento p/ Gestão Mono;116
CSWCEB2C;CS Web Corporate E-Commerce B2C;1286
CSONMEFORNR21P;ON(m): CS Enterprise Fornecedores p/ Rest. +20 Postos;8,25
CSONEFORNR21P;ON: CS Enterprise Fornecedores p/ Rest. +20 Postos;99
CSCLOTGR;CS Corporate Lotes p/ Gestão Rede;768
CSATWAEQUIE;AT: CS Web Advanced Equipa Extranet;698
CSONMDAFORMUA;ON(m): CS Desktop Advanced Formação U.A.;3,25
CSWEEDIB;CS Web Enterprise EDI Broker;94
CSONMAOCUGR;ON(m): CS Advanced Ocupação p/ Gestão Rede;38,67
CSONCGREP5P;ON: CS Corporate Grelhas p/ POS 1a5 Postos;18
CSATDACLIUA;AT: CS Desktop Advanced Clínica U.A.;80
CSSADEQUALI5;SA: CS Desktop Enterprise Qualidade 1a5 U.A.;144
CSONAMULT;ON: CS Advanced Multilingua;200
CSSADECONTP5;SA: CS Desktop Enterprise Controlo p/ Gestão 1a5 U.A.;47
CSONDEGES21;ON: CS Desktop Enterprise Gestão +20 U.A.;97
CSSAWAGEB2C;SA: CS Web Advanced Grelhas p/ E-Commerce B2C;129
CSATEFORMR;AT: CS Enterprise Formação Rede;3161
CSATEESTS;AT: CS Enterprise Estações de Serviço;640
CSWERECRU5;CS Web Enterprise Recrutamento 1a5 U.A.;298
CSONMWECAR5;ON(m): CS Web Enterprise Careers 1a5 U.A.;2,58
CSSAWEFORM5;SA: CS Web Enterprise Formação 1a5 U.A.;152
CSDAGAI120;CS Desktop Advanced GenAI 1a20 U.A.;53
CSONAGAISA;ON: CS Advanced GenAI Srv.Adic.;67
CSATCSUPSTSAR;AT: CS Corporate Suporte + Stocks Srv.Adic.Rede;394
CSSAEGREP20P;SA: CS Enterprise Grelhas p/ POS 11a20 Postos;36
CSONMMMGREPUA;ON(m): CS Manufactor Manager Grelhas U.A.;1,67
CSATMEPLATUA;AT: CS Manufactor Executive Platform U.A.;473
CSONMECARSA;ON(m): CS Enterprise Careers Srv.Adic.;14
CSATERES20P;AT: CS Enterprise Restauração 11a20 Postos;388
CSONDECONT21;ON: CS Desktop Enterprise Contabilidade +20 U.A.;34
CSATCPROJR;AT: CS Corporate Projeto p/ Gestão Rede;2111
CSCEDIB;CS Corporate EDI Broker;243
CSEMULTR10P;CS Enterprise Multilingua p/ Restauração 1a10 Postos;158
CSATCOBRGSAM;AT: CS Corporate Obras p/ Gestão Srv.Adic.Mono;160
CSONCSUPSTSAM;ON: CS Corporate Suporte + Stocks Srv.Adic.Mono;157
CSONWEDEINT;ON: CS Web Enterprise Documentos Eletrónicos Intranet;39
CSWCCONT120;CS Web Corporate Contabilidade 1a20 U.A.;53
CSATCCONTPR;AT: CS Corporate Controlo p/ Gestão Rede;434
CSONDCORCAPUA;ON: CS Desktop Corporate Orçamento p/ Gestão U.A.;23
CSDECLI21;CS Desktop Enterprise Clínica +20 U.A.;103
CSONMETERMR10P;ON(m): CS Enterprise Terminais p/ Rest. 1a10 Postos;3,17
CSCVENCSAR;CS Corporate Vencimentos Srv.Adic.Rede;692
CSSACFORNR5P;SA: CS Corporate Fornecedores p/ Rest. 2a5 Postos;133
CSONMCFROTM;ON(m): CS Corporate Frota Mono;19,25
CSATMMPLATIUA;AT: CS Manufactor Manager Platform Intranet U.A.;5
CSEOCUGR;CS Enterprise Ocupação p/ Gestão Rede;2880
CSONWAFORME;ON: CS Web Advanced Formação Extranet;480
CSSADEFROT5;SA: CS Desktop Enterprise Frota 1a5 U.A.;144
CSONCDOCSAR;ON: CS Corporate Documentos Srv.Adic.Rede;115
CSSADCORCAPUA;SA: CS Desktop Corporate Orçamento p/ Gestão U.A.;35
CSONMDEGAI100;ON(m): CS Desktop Enterprise GenAI 21a100 U.A.;1
CSATCCONTSAR;AT: CS Corporate Contabilidade Srv.Adic.Rede;336
CSSAEEQPMGR;SA: CS Enterprise Equipamento p/ Gestão Rede;477
CSESINC20P;CS Enterprise Sincro 11a20 Postos;233
CSONMEMEDIPSA;ON(m): CS Enterprise Medição p/ Gestão Srv.Adic.;20,17
CSATWASUPE;AT: CS Web Advanced Suporte Extranet;999
CSCSERVGSAM;CS Corporate Serviços Srv.Adic.Mono;242
CSONMADOCBR;ON(m): CS Advanced Documentos + BPM Rede;46,42
CSCECOGSAM;CS Corporate Ecovalor p/ Gestão Srv.Adic.Mono;242
CSATCSUPSAR;AT: CS Corporate Suporte Srv.Adic.Rede;336
CSDCIMOBUA;CS Desktop Corporate Imobilizado U.A.;73
CSONMCGESTESAR;ON(m): CS Corporate Gestão Terceiros Srv.Adic.Rede;17,25
CSATDCLETUA;AT: CS Desktop Corporate Letras U.A.;17
CSATCTERMP;AT: CS Corporate Terminais Portáteis;399
CSDEGAI400;CS Desktop Enterprise GenAI 101a400 U.A.;12
CO01;Nova Ficha Monoutilizador por Substituição;59
CSONAPROJSA;ON: CS Advanced Projeto p/ Gestão Srv.Adic.;730
CSCCON;CS Corporate Conector;1200
CSATCOCUGSAR;AT: CS Corporate Ocupação p/ Gestão Srv.Adic.Rede;192
CSATCMULTSA;AT: CS Corporate Multilingua Srv.Adic.;116
CSSAWECONT21;SA: CS Web Enterprise Contabilidade +20 U.A.;37
TOGENTBPARTNERUA;Together Enterprise Partner - Utilizador Adicional;55
CSATCRES1P;AT: CS Corporate Restauração 1º Posto;151
CSONEGAIR;ON: CS Enterprise GenAI Rede;242
CSONDEEQUI20;ON: CS Desktop Enterprise Equipa 6a20 U.A.;50
CSONMDCORCAPUA;ON(m): CS Desktop Corporate Orçamento p/ Gestão U.A.;1,92
CSSADCGESTEUA;SA: CS Desktop Corporate Gestão Terceiros U.A.;32
CSMMLOTUA;CS Manufactor Manager Lotes U.A.;52
CSONCPROJSAR;ON: CS Corporate Projeto p/ Gestão Srv.Adic.Rede;507
CSDESERVG21;CS Desktop Enterprise Serviços +20 U.A.;28
CSATACONTPR;AT: CS Advanced Controlo p/ Gestão Rede;561
CSATASMS;AT: CS Advanced SMS;160
CSONMAGAIR;ON(m): CS Advanced GenAI Rede;11,17
CERTIFCOR;Certificação PHC CS Corporate;200
CSONMWEEB2C;ON(m): CS Web Enterprise E-Commerce B2C;90,17
CSONCIECAGM;ON: CS Corporate IEC Álcool p/ Gestão Mono;116
CSSAEQUALIR;SA: CS Enterprise Qualidade Rede;1610
CSSACVENCR;SA: CS Corporate Vencimentos Rede;497
CSSADEEQPMG20;SA: CS Desktop Enterprise Equipamento p/ Gestão 6a20 U.A.;20
CSATEIMOVR;AT: CS Enterprise Imóveis Rede;3839
CSAFORNRPA;CS Advanced Fornecedores p/ Rest. Posto;509
CSONMCSINC5P;ON(m): CS Corporate Sincro 1a5 Postos;3,17
CSONWAEB2BIUA;ON: CS Web Advanced E-Commerce B2B Intranet U.A.;66
