ref;design;Preco_Euros
CSONMCGESCLSAR;ON(m): CS Corporate Gestão Clientes Srv.Adic.Rede;3,67
CSSADECONS21;SA: CS Desktop Enterprise Consolidação +20 U.A.;44
CSONMDACARUA;ON(m): CS Desktop Advanced Careers U.A.;2,33
CSONMMPLATR;ON: CS Manufactor Manager Platform Rede;674
CSWECONT20;CS Web Enterprise Contabilidade 6a20 U.A.;199
CSDAGREGUA;CS Desktop Advanced Grelhas p/ Gestão U.A.;37
CSONMEGREGSA;ON(m): CS Enterprise Grelhas p/ Gestão Srv.Adic.;5,83
CSCGESR;CS Corporate Gestão Rede;2193
CSSAWAGESUA;SA: CS Web Advanced Gestão U.A.;66
CSONMDEVENC20;ON(m): CS Desktop Enterprise Vencimentos 6a20 U.A.;4,17
CSONMACARSA;ON(m): CS Advanced Careers Srv.Adic.;8,58
CSONMEVENCSA;ON(m): CS Enterprise Vencimentos Srv.Adic.;27,42
CSATWERECRU21;AT: CS Web Enterprise Recrutamento +20 U.A.;70
CSSACLETR;SA: CS Corporate Letras Rede;241
CSSAWAGEB2C;SA: CS Web Advanced Grelhas p/ E-Commerce B2C;112
CSDEFORM5;CS Desktop Enterprise Formação 1a5 U.A.;546
CSONAMULT;ON: CS Advanced Multilingua;147
CSATWEVENCUA;AT: CS Web Enterprise Vencimentos U.A.;198
CSONMWEECOG5;ON(m): CS Web Enterprise Ecovalor p/ Gestão 1a5 U.A.;1,33
CSONAVENCSA;ON: CS Advanced Vencimentos Srv.Adic.;275
CSONMCCONTPSAR;ON(m): CS Corporate Controlo p/ Gestão Srv.Adic.Rede;6,33
CSSAAEQPMGR;SA: CS Advanced Equipamento p/ Gestão Rede;187
CSONMMEPLATR;ON(m): CS Manufactor Executive Platform Rede;139
CSSADEGES21;SA: CS Desktop Enterprise Gestão +20 U.A.;127
CSSAEQUADBR;SA: CS Enterprise Qualidade+Documentos+BPM Rede;2031
CSONEDESA;ON: CS Enterprise Documentos Eletrónicos Srv.Adic.;80
CSSADACONSUA;SA: CS Desktop Advanced Consolidação U.A.;140
CSELETSA;CS Enterprise Letras Srv.Adic.;1133
CSONMCSERVGM;ON(m): CS Corporate Serviços Mono;7,08
