ref;design;Preco_Euros
CSATEDOCBSA;AT: CS Enterprise Documentos + BPM Srv.Adic.;567
CSEDENSA;CS Enterprise Denúncias Srv.Adic.;435
CSDEOCUG5;CS Desktop Enterprise Ocupação p/ Gestão 1a5 U.A.;246
CSATCFROTSAM;AT: CS Corporate Frota Srv.Adic.Mono;229
CERTIFINGO;Certificação Introdução PHC GO;100
CSATEORCAPSA;AT: CS Enterprise Orçamento p/ Gestão Srv.Adic.;480
CSONDAIMOBUA;ON: CS Desktop Advanced Imobilizado U.A.;39
CSONWECONT21;ON: CS Web Enterprise Contabilidade +20 U.A.;18
CSONMDASC21;ON(m): CS Desktop Advanced Safe Credit U.A.;0,33
CSSADECONT20;SA: CS Desktop Enterprise Contabilidade 6a20 U.A.;89
CSONMWAGAI101;ON(m): CS Web Advanced GenAI +100 U.A.;0,08
CSCLETR;CS Corporate Letras Rede;731
CSAQUALISA;CS Advanced Qualidade Srv.Adic.;1104
CSATWADOC100;AT: CS Web Advanced Documentos 21a100 U.A.;28
CSSADEQUADB5;SA: CS Desktop Enterprise Qualidade+Documentos+BPM 1a5 U.A.;183
CSONDECAR20;ON: CS Desktop Enterprise Careers 6a20 U.A.;50
CSATWAECOE;AT: CS Web Advanced Ecovalor Extranet;114
CSONEDEPOS;ON: CS Enterprise Documentos Eletrónicos p/ POS;37
CSSADAPLANPUA;SA: CS Desktop Advanced Planeamento p/ Gestão U.A.;26
CSONWECAR401;ON: CS Web Enterprise Careers +400 U.A.;2
CSATDECONS21;AT: CS Desktop Enterprise Consolidação +20 U.A.;67
CSEOBRGR;CS Enterprise Obras p/ Gestão Rede;1264
CSSAEIECAGR;SA: CS Enterprise IEC Álcool p/ Gestão Rede;417
CSONDEIMOV5;ON: CS Desktop Enterprise Imóveis 1a5 U.A.;122
CSMMPLAR;CS Manufactor Manager Planning Rede;1903
CSATDEEQPMG21;AT: CS Desktop Enterprise Equipamento p/ Gestão +20 U.A.;14
CSEFORNR20P;CS Enterprise Fornecedores p/ Rest. 11a20 Postos;512
CSATWEGES20;AT: CS Web Enterprise Gestão 6a20 U.A.;286
CSSAWEIMOB5;SA: CS Web Enterprise Imobilizado 1a5 U.A.;122
CSONMCECOGR;ON(m): CS Corporate Ecovalor p/ Gestão Rede;8,42
CSWERECRU21;CS Web Enterprise Recrutamento +20 U.A.;140
CSATDEPLANP21;AT: CS Desktop Enterprise Planeamento p/ Gestão +20 U.A.;14
CSONMAPLANPSA;ON(m): CS Advanced Planeamento p/ Gestão Srv.Adic.;8,25
CSATAPROJSA;AT: CS Advanced Projeto p/ Gestão Srv.Adic.;1447
CSWEGES21;CS Web Enterprise Gestão +20 U.A.;283
CSATWCDEINT;AT: CS Web Corporate Documentos Eletrónicos Intranet;13
CSONDECAR21;ON: CS Desktop Enterprise Careers +20 U.A.;25
CSONCREVIPR;ON: CS Corporate Revisão de Preços Rede;321
CSSAWEGAI401;SA: CS Web Enterprise GenAI +400 U.A.;2
CSONDCLOTGUA;ON: CS Desktop Corporate Lotes p/ Gestão U.A.;6
CSONMCLOTP5P;ON(m): CS Corporate Lotes p/ POS 1a5 Postos;3,42
CSCSUPSTM;CS Corporate Suporte + Stocks Mono;1248
CSATMELOTUA;AT: CS Manufactor Executive Lotes U.A.;75
CSSACESTS;SA: CS Corporate Estações de Serviço;201
CSSAASERVGR;SA: CS Advanced Serviços Rede;187
CSATDELET5;AT: CS Desktop Enterprise Letras 1a5 U.A.;171
CSONMDEIMOV20;ON(m): CS Desktop Enterprise Imóveis 6a20 U.A.;5,08
CSONMAMULT;ON(m): CS Advanced Multilingua;12,25
CSMMMOLUA;CS Manufactor Manager Moldes U.A.;49
CSONMASHSTR;ON(m): CS Advanced SHST Rede;12,92
CSONMCEQPMGM;ON(m): CS Corporate Equipamento p/ Gestão Mono;7,08
CSONMDALETUA;ON(m): CS Desktop Advanced Letras U.A.;2,33
CSATCOCUGSAR;AT: CS Corporate Ocupação p/ Gestão Srv.Adic.Rede;183
CSALOGIGR;CS Advanced Logística p/ Gestão Rede;1888
CSONWCRGPD;ON: CS Web Corporate RGPD;5
CSSAEPLANPR;SA: CS Enterprise Planeamento p/ Gestão Rede;453
CSATAVENCR;AT: CS Advanced Vencimentos Rede;1485
CSDELOGIG5;CS Desktop Enterprise Logística p/ Gestão 1a5 U.A.;201
CSONESERVGR;ON: CS Enterprise Serviços Rede;234
CSONMWEEQUIE;ON(m): CS Web Enterprise Equipa Extranet;29,33
CSONMDELET5;ON(m): CS Desktop Enterprise Letras 1a5 U.A.;5,25
CSONMALETR;ON(m): CS Advanced Letras Rede;34
CSATETERMP;AT: CS Enterprise Terminais Portáteis;1523
CSONMASUPR;ON(m): CS Advanced Suporte Rede;34
CSONMCFORNR1P;ON(m): CS Corporate Fornecedores p/ Rest. 1º Posto;4,58
CSATDECONT21;AT: CS Desktop Enterprise Contabilidade +20 U.A.;68
CSSAEEQPMP20P;SA: CS Enterprise Equipamento p/ POS 11a20 Postos;40
CSEGESSA;CS Enterprise Gestão Srv.Adic.;2193
CSONEMULT;ON: CS Enterprise Multilingua;222
CSONAPROJSA;ON: CS Advanced Projeto p/ Gestão Srv.Adic.;535
CSSADESUP5;SA: CS Desktop Enterprise Suporte 1a5 U.A.;180
CSDCPGGLOUA;CS Desktop Corporate Gabinetes Global U.A.;163
CSCPGGLOR;CS Corporate Gabinetes Global Rede;3290
CSONMWECOLAB400;ON(m): CS Web Enterprise Colaborador 101a400 U.A.;0,25
CSONMWECOLAB20;ON(m): CS Web Enterprise Colaborador 6a20 U.A.;1,33
CSSAEPOS21P;SA: CS Enterprise POS +20 Postos;203
CSSADESUPST5;SA: CS Desktop Enterprise Suporte + Stocks 1a5 U.A.;227
CSONADOCBSA;ON: CS Advanced Documentos + BPM Srv.Adic.;204
CSONWADEINT;ON: CS Web Advanced Documentos Eletrónicos Intranet;8
CSEESTS;CS Enterprise Estações de Serviço;1218
CSONDCEQUIUA;ON: CS Desktop Corporate Equipa U.A.;9
CSONMDECLI5;ON(m): CS Desktop Enterprise Clínica 1a5 U.A.;5,92
CSADE;CS Advanced Documentos Eletrónicos;686
CSWCGREG120;CS Web Corporate Grelhas p/ Gestão 1a20 U.A.;19
CSONMADOCBR;ON(m): CS Advanced Documentos + BPM Rede;34
CSSAASINCPA;SA: CS Advanced Sincro Posto;71
CSATWAGESUA;AT: CS Web Advanced Gestão U.A.;100
CSATCEQPMGSAM;AT: CS Corporate Equipamento p/ Gestão Srv.Adic.Mono;115
CSESHSTR;CS Enterprise SHST Rede;2193
CSONMDCCLIUA;ON(m): CS Desktop Corporate Clínica U.A.;1,08
CSCSUPM;CS Corporate Suporte Mono;1068
CSDACARUA;CS Desktop Advanced Careers U.A.;153
CSAEQPMPPA;CS Advanced Equipamento p/ POS Posto;114
CSSAWEEB2B;SA: CS Web Enterprise E-Commerce B2B;941
CSATAECOPPA;AT: CS Advanced Ecovalor p/ POS Posto;47
CSEFORMSA;CS Enterprise Formação Srv.Adic.;1805
CSSACCON;SA: CS Corporate Conector;377
CSONWCEQUIE;ON: CS Web Corporate Equipa Extranet;106
CSSACPGSM;SA: CS Corporate Gestão Completo + Suporte Mono;829
CSDEPLANP21;CS Desktop Enterprise Planeamento p/ Gestão +20 U.A.;28
CSATWEEQUIE;AT: CS Web Enterprise Equipa Extranet;951
CSONMDCFORMUA;ON(m): CS Desktop Corporate Formação U.A.;1,33
CSONMEGREGR;ON(m): CS Enterprise Grelhas p/ Gestão Rede;19,5
CSONEDERES;ON: CS Enterprise Documentos Eletrónicos p/ Restauração;37
CSCGESTER;CS Corporate Gestão Terceiros Rede;1645
CSCPGLOSAR;CS Corporate Global Srv.Adic.Rede;2394
CSCPROJR;CS Corporate Projeto p/ Gestão Rede;4019
CSATCRGPD;AT: CS Corporate RGPD;190
CSSADEREVIP5;SA: CS Desktop Enterprise Revisão de Preços 1a5 U.A.;85
CSONMAGAIR;ON(m): CS Advanced GenAI Rede;8,25
CSONMCVENCM;ON(m): CS Corporate Vencimentos Mono;16,92
CSONWEDEINT;ON: CS Web Enterprise Documentos Eletrónicos Intranet;29
CSONAOBRGSA;ON: CS Advanced Obras p/ Gestão Srv.Adic.;170
CSSAERES21P;SA: CS Enterprise Restauração +20 Postos;203
CSONDAIMOVUA;ON: CS Desktop Advanced Imóveis U.A.;28
CSATCIMOBR;AT: CS Corporate Imobilizado Rede;640
CSATAMESTSPA;AT: CS Advanced Multi Estação Serviço Posto adic.;305
CSATDEIMOV21;AT: CS Desktop Enterprise Imóveis +20 U.A.;81
CSEPOS10P;CS Enterprise POS 1a10 Postos;958
CSSAWCFORM120;SA: CS Web Corporate Formação 1a20 U.A.;21
CSONMCSUPSTSAM;ON(m): CS Corporate Suporte + Stocks Srv.Adic.Mono;9,58
CSONAMEDIPSA;ON: CS Advanced Medição p/ Gestão Srv.Adic.;204
SQL19FUSTANDCAL;CAL SQL Fulluse Server 2019 User STANDARD Edition;475
CSWECAR400;CS Web Enterprise Careers 101a400 U.A.;16
CSDCFORMUA;CS Desktop Corporate Formação U.A.;86
CSONWCLOTG120;ON: CS Web Corporate Lotes p/ Gestão 1a20 U.A.;5
CSDCSERVGUA;CS Desktop Corporate Serviços U.A.;26
CSONMWACOLAB101;ON(m): CS Web Advanced Colaborador +100 U.A.;0,17
CSONECARSA;ON: CS Enterprise Careers Srv.Adic.;124
CSATAOBRGSA;AT: CS Advanced Obras p/ Gestão Srv.Adic.;460
CSATEINTSA;AT: CS Enterprise Intrastat Srv.Adic.;457
CSATESERVGR;AT: CS Enterprise Serviços Rede;632
CSATEOCUGSA;AT: CS Enterprise Ocupação p/ Gestão Srv.Adic.;411
CSATCLOTGSAR;AT: CS Corporate Lotes p/ Gestão Srv.Adic.Rede;183
CSONDEOCUG5;ON: CS Desktop Enterprise Ocupação p/ Gestão 1a5 U.A.;46
CSATELETR;AT: CS Enterprise Letras Rede;1888
CSONMEGREP10P;ON(m): CS Enterprise Grelhas p/ POS 1a10 Postos;1,75
CSONMWEEB2B;ON(m): CS Web Enterprise E-Commerce B2B;44
CSONMAMESTSPA;ON(m): CS Advanced Multi Estação Serviço Posto Adic.;9,42
CSSAWESUP21;SA: CS Web Enterprise Suporte +20 U.A.;33
CSATDEDOCB20;AT: CS Desktop Enterprise Documentos + BPM 6a20 U.A.;84
CSASMS;CS Advanced SMS;304
CSSADECLI20;SA: CS Desktop Enterprise Clínica 6a20 U.A.;65
CSONMCIMOBSAM;ON(m): CS Corporate Imobilizado Srv.Adic.Mono;8,25
CSATWAEB2C;AT: CS Web Advanced E-Commerce B2C;1226
CSONCGAIR;ON: CS Corporate GenAI rede;71
CSATWAFORME;AT: CS Web Advanced Formação Extranet;951
CSONMECLISA;ON(m): CS Enterprise Clínica Srv.Adic.;19,75
CSONMEPLATR;ON: CS Manufactor Executive Platform Rede;1668
CSSMSP1000;CS  SMS - Pack Adicional 1000;115
CSONEECOP10P;ON: CS Enterprise Ecovalor p/ POS 1a10 Postos;21
CSATDAVENCUA;AT: CS Desktop Advanced Vencimentos U.A.;107
CSATWCFORM120;AT: CS Web Corporate Formação 1a20 U.A.;33
CSONMAOBRGSA;ON(m): CS Advanced Obras p/ Gestão Srv.Adic.;14,17
CSMMTOUUA;CS Manufactor Manager Touch U.A.;49
CSDCREVIPUA;CS Desktop Corporate Revisão de Preços U.A.;91
CSONMEDENSA;ON(m): CS Enterprise Denúncias Srv.Adic.;6,67
CSACONSSA;CS Advanced Consolidação Srv.Adic.;3046
CSSAWEGAI5;SA: CS Web Enterprise GenAI 1a5 U.A.;22
CSATDECAR21;AT: CS Desktop Enterprise Careers +20 U.A.;68
CSONCCONTSAR;ON: CS Corporate Contabilidade Srv.Adic.Rede;118
CSEIECAP21P;CS Enterprise IEC Álcool p/ POS +20 Postos;78
CSONAMULTPPA;ON: CS Advanced Multilingua p/ POS Posto;21
CSONMAVENCR;ON(m): CS Advanced Vencimentos Rede;45,75
CSDACONTUA;CS Desktop Advanced Contabilidade U.A.;213
CSSADEFROT20;SA: CS Desktop Enterprise Frota 6a20 U.A.;65
CSWAOKR100;CS Web Advanced OKR 21a100 U.A.;46
CSATDALOTGUA;AT: CS Desktop Advanced Lotes p/ Gestão U.A.;66
CSONDALOGIGUA;ON: CS Desktop Advanced Logística p/ Gestão U.A.;24
CSONMDEECOG5;ON(m): CS Desktop Enterprise Ecovalor p/ Gestão 1a5 U.A.;1,75
CSSADEOBRG20;SA: CS Desktop Enterprise Obras p/ Gestão 6a20 U.A.;17
CSONCMEDIPR;ON: CS Corporate Medição p/ Gestão Rede;321
CSONDEORCAP20;ON: CS Desktop Enterprise Orçamento p/ Gestão 6a20 U.A.;26
CSSACMESTSPA;SA: CS Corporate Multi Estação Serviço Posto Adic.;201
CSSADEORCAP21;SA: CS Desktop Enterprise Orçamento p/ Gestão +20 U.A.;25
CSONWEDOCE;ON: CS Web Enterprise Documentos Extranet;290
CSONARGPDPPA;ON: CS Advanced RGPD p/ POS Posto;33
CSONDEIECAG20;ON: CS Desktop Enterprise IEC Álcool p/ Gestão 6a20 U.A.;10
CSDEECOG21;CS Desktop Enterprise Ecovalor p/ Gestão +20 U.A.;28
CSSADEOCUG5;SA: CS Desktop Enterprise Ocupação p/ Gestão 1a5 U.A.;81
CSECRMR;CS Enterprise CRM Rede;4264
CSONMCEQPMGR;ON(m): CS Corporate Equipamento p/ Gestão Rede;8,42
CSCOBRGM;CS Corporate Obras p/ Gestão Mono;609
CSATDEGES20;AT: CS Desktop Enterprise Gestão 6a20 U.A.;387
CSATCTERMR;AT: CS Corporate Terminais p/ Rest.;40
CSCSUPSAM;CS Corporate Suporte Srv.Adic.Mono;534
CSWAGAI120;CS Web Advanced GenAI 1a20 U.A.;37
CSONMESINC20P;ON(m): CS Enterprise Sincro 11a20 Postos;3,42
CSATEFORMSA;AT: CS Enterprise Formação Srv.Adic.;903
CSONMDCPROJUA;ON(m): CS Desktop Corporate Projeto p/ Gestão U.A.;3,17
CSDCCRMUA;CS Desktop Corporate CRM U.A.;51
SQL22RNSTDS+1CAL;Servidor SQL Server 2022 Runtime STANDARD Edition + 1 CAL;298
CSSADEOBRG5;SA: CS Desktop Enterprise Obras p/ Gestão 1a5 U.A.;38
CSEFORNR10P;CS Enterprise Fornecedores p/ Rest. 1a10 Postos;639
CSSADEREVIP21;SA: CS Desktop Enterprise Revisão de Preços +20 U.A.;23
CSONMMEMRPUA;ON(m): CS Manufactor Executive MRP U.A.;7,08
CSSADCSUPSTUA;SA: CS Desktop Corporate Suporte + Stocks U.A.;26
CSONESUPSTR;ON: CS Enterprise Suporte + Stocks Rede;1395
CSCPGGLOM;CS Corporate Gabinetes Global Mono;2741
CSATCGESCLM;AT: CS Corporate Gestão Clientes Mono;199
CSONCSUPSTR;ON: CS Corporate Suporte + Stocks Rede;277
CSONMDADOCBUA;ON(m): CS Desktop Advanced Documentos + BPM U.A.;2,33
RENOVAPROJ;Renovação Certificação PHC CS Projeto desktop;70
CSDELET5;CS Desktop Enterprise Letras 1a5 U.A.;342
CSONMDCFROTUA;ON(m): CS Desktop Corporate Frota U.A.;0,75
CSSAWEDOC5;SA: CS Web Enterprise Documentos 1a5 U.A.;84
CSSAEEDIB;SA: CS Enterprise EDI Broker;263
CSONMDCCONTUA;ON(m): CS Desktop Corporate Contabilidade U.A.;1,08
CSATWERGPD;AT: CS Web Enterprise RGPD;78
CSCCRMR;CS Corporate CRM Rede;1097
CSSACIECAGM;SA: CS Corporate IEC Álcool p/ Gestão Mono;152
CSSACMESTS1P;SA: CS Corporate Multi Estação Serviço 1º Posto;163
CSSAEBEN;SA: CS Web Enterprise Benefits;266
CSONAECOPPA;ON: CS Advanced Ecovalor p/ POS Posto;17
CSECONTR;CS Enterprise Contabilidade Rede;5938
CSSAWEBC5;SA: CS Web Enterprise Bank Connector 5;192
CSONMCMESTS1P;ON(m): CS Corporate Multi Estação Serviço 1º Posto;7,58
CSEEQPMP20P;CS Enterprise Equipamento p/ POS 11a20 Postos;121
CSONMEMULTR10P;ON(m): CS Enterprise Multilingua p/ Restauração 1a10 Postos;2,33
CSDAIMOVUA;CS Desktop Advanced Imóveis U.A.;151
CSDEGAI401;CS Desktop Enterprise GenAI +400 U.A.;7
CSSAARES1P;SA: CS Advanced Restauração 1º Posto;165
CSONDADOCBUA;ON: CS Desktop Advanced Documentos + BPM U.A.;28
CSONDEGAI100;ON: CS Desktop Enterprise GenAI 21a100 U.A.;9
CSATADEPOS;AT: CS Advanced Documentos Eletrónicos p/ POS;75
CSESINC21P;CS Enterprise Sincro +20 Postos;171
CSSADASUPSTUA;SA: CS Desktop Advanced Suporte + Stocks U.A.;70
CSONMWESUP21;ON(m): CS Web Enterprise Suporte +20 U.A.;1,58
CSONMEMESTS1P;ON(m): CS Enterprise Multi Estação Serviço 1º Posto;9,42
CSONMWAGEB2C;ON(m): CS Web Advanced Grelhas p/ E-Commerce B2C;5,25
CSSACFORNR1P;SA: CS Corporate Fornecedores p/ Rest. 1º Posto;99
CSONWACONTUA;ON: CS Web Advanced Contabilidade U.A.;28
CSWCEB2C;CS Web Corporate E-Commerce B2C;1224
CSONMDCSERVGUA;ON(m): CS Desktop Corporate Serviços U.A.;0,42
CSSADAMEDIPUA;SA: CS Desktop Advanced Medição p/ Gestão U.A.;50
CSSACSUPR;SA: CS Corporate Suporte Rede;422
CSSAEFORNP21P;SA: CS Enterprise Fornecedores p/ POS +20 Postos;135
CSONAGREGSA;ON: CS Advanced Grelhas p/ Gestão Srv.Adic.;53
CSONMCEQUISAM;ON(m): CS Corporate Equipa Srv.Adic.Mono;7,08
CSATDCSUPUA;AT: CS Desktop Corporate Suporte U.A.;35
CSATDEEQUI5;AT: CS Desktop Enterprise Equipa 1a5 U.A.;195
CSCVENCM;CS Corporate Vencimentos Mono;1097
CSSACMULTP5P;SA: CS Corporate Multilingua p/ POS 1a5 Postos;26
CSONCPLANPSAM;ON: CS Corporate Planeamento p/ Gestão Srv.Adic.Mono;63
CSATAIMOBR;AT: CS Advanced Imobilizado Rede;1485
CSONMWEGES5;ON(m): CS Web Enterprise Gestão 1a5 U.A.;17,58
CSONCEQPMP5P;ON: CS Corporate Equipamento p/ POS 1a5 Postos;17
CSONMWEDEINT;ON(m): CS Web Enterprise Documentos Eletrónicos Intranet;2,42
CSATCSUPSTSAM;AT: CS Corporate Suporte + Stocks Srv.Adic.Mono;312
CSONAGESSA;ON: CS Advanced Gestão Srv.Adic.;349
CSEPOS20P;CS Enterprise POS 11a20 Postos;767
CSATAORCAPR;AT: CS Advanced Orçamento p/ Gestão Rede;1104
CSWARECRU120;CS Web Advanced Recrutamento 1a20 U.A.;144
CSSACGESM;SA: CS Corporate Gestão Mono;603
CSATALOGIGR;AT: CS Advanced Logística p/ Gestão Rede;944
CSDACONSUA;CS Desktop Advanced Consolidação U.A.;425
CSSAAEQUIR;SA: CS Advanced Equipa Rede;729
CSONMDEEQUI21;ON(m): CS Desktop Enterprise Equipa +20 U.A.;1,5
CSWERGPD;CS Web Enterprise RGPD;155
CSONWEEQPMG5;ON: CS Web Enterprise Equipamento p/ Gestão 1a5 U.A.;16
CSONMEPOS10P;ON(m): CS Enterprise POS 1a10 Postos;14,75
CSONMCEQPMP5P;ON(m): CS Corporate Equipamento p/ POS 1a5 Postos;1,42
CSATWECAR20;AT: CS Web Enterprise Careers 6a20 U.A.;47
CSONWARECRU21;ON: CS Web Advanced Recrutamento +20 U.A.;13
CSONMELOGIGR;ON(m): CS Enterprise Logística p/ Gestão Rede;33,83
CSMMMRPR;CS Manufactor Manager MRP Rede;1446
TOGPARTNERS;Together Partner - Serviços;0
CSSACSUPSTR;SA: CS Corporate Suporte + Stocks Rede;494
CSONMDALOTGUA;ON(m): CS Desktop Advanced Lotes p/ Gestão U.A.;2
CSCDOCM;CS Corporate Documentos Mono;760
CSONMDAFROTUA;ON(m): CS Desktop Advanced Frota U.A.;2,33
CSDEGAI20;CS Desktop Enterprise GenAI 6a20 U.A.;68
CSWECOLAB100;CS Web Enterprise Colaborador 21a100 U.A.;62
CSEECOGSA;CS Enterprise Ecovalor p/ Gestão Srv.Adic.;379
CSEEQPMGSA;CS Enterprise Equipamento p/ Gestão Srv.Adic.;379
CSATDEIMOB20;AT: CS Desktop Enterprise Imobilizado 6a20 U.A.;135
CSONMCMEDIPR;ON(m): CS Corporate Medição p/ Gestão Rede;26,75
CSONEMULTR21P;ON: CS Enterprise Multilingua p/ Restauração +20 Postos;18
CSDEEQPMG21;CS Desktop Enterprise Equipamento p/ Gestão +20 U.A.;27
CSONCMULTP5P;ON: CS Corporate Multilingua p/ POS 1a5 Postos;15
CSATCEQPMGSAR;AT: CS Corporate Equipamento p/ Gestão Srv.Adic.Rede;137
CSONMEECOP10P;ON(m): CS Enterprise Ecovalor p/ POS 1a10 Postos;1,75
CSAPROJR;CS Advanced Projeto p/ Gestão Rede;5788
CSSACRES1P;SA: CS Corporate Restauração 1º Posto;99
CSATCECOGM;AT: CS Corporate Ecovalor p/ Gestão Mono;230
CSONMMETOUR;ON(m): CS Manufactor Executive Touch Rede;23,5
CSATDECONTP5;AT: CS Desktop Enterprise Controlo p/ Gestão 1a5 U.A.;62
CSWEOKR100;CS Web Enterprise OKR 21a100 U.A.;92
CSONWAEQUIE;ON: CS Web Advanced Equipa Extranet;246
CSONCTERMR;ON: CS Corporate Terminais p/ Rest.;15
CSATDEECOG5;AT: CS Desktop Enterprise Ecovalor p/ Gestão 1a5 U.A.;58
CSONADENSA;ON: CS Advanced Denúncias Srv.Adic.;63
CSATERGPD;AT: CS Enterprise RGPD;723
CSSACDOCM;SA: CS Corporate Documentos Mono;251
CSDEMEDIP5;CS Desktop Enterprise Medição p/ Gestão 1a5 U.A.;284
CSSADECONS20;SA: CS Desktop Enterprise Consolidação 6a20 U.A.;87
CSATDACONTPUA;AT: CS Desktop Advanced Controlo p/ Gestão U.A.;40
CSONMDEFROT5;ON(m): CS Desktop Enterprise Frota 1a5 U.A.;5,92
CSSAWEGAI100;SA: CS Web Enterprise GenAI 21a100 U.A.;12
CSONDEPROJ5;ON: CS Desktop Enterprise Projeto p/ Gestão 1a5 U.A.;124
CSATDEOCUG20;AT: CS Desktop Enterprise Ocupação p/ Gestão 6a20 U.A.;62
CSSACLOTGR;SA: CS Corporate Lotes p/ Gestão Rede;241
CSONMAVENCSA;ON(m): CS Advanced Vencimentos Srv.Adic.;22,92
CSSADCOBRGUA;SA: CS Desktop Corporate Obras p/ Gestão U.A.;11
CSSACFAT1P;SA: CS Corporate Faturação 1º Posto;82
CSONMCXL1P;ON(m): CS Corporate XL 1º Posto;5,83
CSONMWEFORME;ON(m): CS Web Enterprise Formação Extranet;44
CSECONTPSA;CS Enterprise Controlo p/ Gestão Srv.Adic.;1781
CSONWAGAI101;ON: CS Web Advanced GenAI +100 U.A.;1
CSSACPOS1P;SA: CS Corporate POS 1º Posto;99
CSWCIMOB120;CS Web Corporate Imobilizado 1a20 U.A.;47
CSONCLOTP5P;ON: CS Corporate Lotes p/ POS 1a5 Postos;41
CSASQP10000;CS Assinaturas Qualificadas - Pack Adicional 10000;580
CSATCCLIR;AT: CS Corporate Clínica Rede;640
CSONMACONSR;ON(m): CS Advanced Consolidação Rede;93,92
CSDAFORMUA;CS Desktop Advanced Formação U.A.;153
CSATCPROJM;AT: CS Corporate Projeto p/ Gestão Mono;1676
CSSACPGLOW;SA: CS Web Corporate Global Web;1185
CSSAEPOS20P;SA: CS Enterprise POS 11a20 Postos;253
CSCGESTESAM;CS Corporate Gestão Terceiros Srv.Adic.Mono;686
CSSADASHSTUA;SA: CS Desktop Advanced SHST U.A.;17
CERTQUAL;Certificação PHC CS Qualidade;100
CSSACFORMM;SA: CS Corporate Formação Mono;453
CSATWAEB2B;AT: CS Web Advanced E-Commerce B2B;951
CSERGPDSA;CS Enterprise RGPD Srv.Adic.;435
CSONWCECOG120;ON: CS Web Corporate Ecovalor p/ Gestão 1a20 U.A.;4
CSONWCDOCE;ON: CS Web Corporate Documentos Extranet;88
CSSAAIECAPPA;SA: CS Advanced IEC Álcool p/ POS Posto;31
CSONMWCEQUI120;ON(m): CS Web Corporate Equipa 1a20 U.A.;0,58
CSONCIMOVSAM;ON: CS Corporate Imóveis Srv.Adic.Mono;70
CSCECOGSAR;CS Corporate Ecovalor p/ Gestão Srv.Adic.Rede;274
CSAIMOBSA;CS Advanced Imobilizado Srv.Adic.;1485
CSATETERMR20P;AT: CS Enterprise Terminais p/ Rest. 11a20 Postos;61
CSWACOLAB100;CS Web Advanced Colaborador 21a100 U.A.;29
CSONMDESC5;ON(m): CS Desktop Enterprise Safe Credit 1a5 U.A.;0,58
CSCCRMSAR;CS Corporate CRM Srv.Adic.Rede;549
CSWADOC120;CS Web Advanced Documentos 1a20 U.A.;114
CSSADAOCUGUA;SA: CS Desktop Advanced Ocupação p/ Gestão U.A.;42
CSDEDOCB20;CS Desktop Enterprise Documentos + BPM 6a20 U.A.;168
CSONDCCRMUA;ON: CS Desktop Corporate CRM U.A.;9
CSATERES10P;AT: CS Enterprise Restauração 1a10 Postos;479
CSATCGESCLSAR;AT: CS Corporate Gestão Clientes Srv.Adic.Rede;120
CSONMEIECAP20P;ON(m): CS Enterprise IEC Álcool p/ POS 11a20 Postos;1,42
CSONMEMOLUA;ON: CS Manufactor Executive Moldes U.A.;28
CSSAWEOKR20;SA: CS Web Enterprise OKR 6a20 U.A.;44
CSAFROTSA;CS Advanced Frota Srv.Adic.;1104
CSONMAECOGSA;ON(m): CS Advanced Ecovalor p/ Gestão Srv.Adic.;4,42
CSONCFROTM;ON: CS Corporate Frota Mono;169
CSSADEEQPMG20;SA: CS Desktop Enterprise Equipamento p/ Gestão 6a20 U.A.;17
CSATEMULTP10P;AT: CS Enterprise Multilingua p/ POS 1a10 Postos;75
CSATCMEDIPSAR;AT: CS Corporate Medição p/ Gestão Srv.Adic.Rede;435
CSSADECONTP5;SA: CS Desktop Enterprise Controlo p/ Gestão 1a5 U.A.;41
CSATESUPSA;AT: CS Enterprise Suporte Srv.Adic.;903
CSSAFSP10;SA: CS File Storage - Aquisição 10 GB;120
CSONCIECAP5P;ON: CS Corporate IEC Álcool p/ POS 1a5 Postos;13
CSONMDCCRMUA;ON(m): CS Desktop Corporate CRM U.A.;0,75
CSONMDEGREG21;ON(m): CS Desktop Enterprise Grelhas p/ Gestão +20 U.A.;0,42
CSONMAOCUGSA;ON(m): CS Advanced Ocupação p/ Gestão Srv.Adic.;14,17
CSONEGESSA;ON: CS Enterprise Gestão Srv.Adic.;406
CSSACECOGM;SA: CS Corporate Ecovalor p/ Gestão Mono;152
CSONMDESHST5;ON(m): CS Desktop Enterprise SHST 1a5 U.A.;3,08
CSONMDASERVGUA;ON(m): CS Desktop Advanced Serviços U.A.;0,58
CSONEIECAP10P;ON: CS Enterprise IEC Álcool p/ POS 1a10 Postos;21
CSONMAMULTSA;ON(m): CS Advanced Multilingua Srv.Adic.;6,08
CSCSUPSTSAM;CS Corporate Suporte + Stocks Srv.Adic.Mono;624
CSDEGREG21;CS Desktop Enterprise Grelhas p/ Gestão +20 U.A.;28
CSONMDAREVIPUA;ON(m): CS Desktop Advanced Revisão de Preços U.A.;2,33
CSONMCEQPMGSAM;ON(m): CS Corporate Equipamento p/ Gestão Srv.Adic.Mono;3,58
CSONEGREP21P;ON: CS Enterprise Grelhas p/ POS +20 Postos;14
CSONMEXLPA;ON(m): CS Enterprise XL Posto Adic.;2,42
CSSAWAGREE;SA: CS Web Advanced Grelhas Extranet;75
CSONEEQPMP20P;ON: CS Enterprise Equipamento p/ POS 11a20 Postos;22
CSEPROJR;CS Enterprise Projeto p/ Gestão Rede;7462
